Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
13:41:09,171,10944000,29.32,28.95,34.04,2178343.95,100%,79,79,79
13:41:14,184,11776000,27.03,26.01,36.68,2347687.4,100%,80,80,80
13:41:19,146,9344000,34.28,33.29,28.98,1854704.25,100%,81,81,81
13:41:24,143,9152000,35.01,34.03,28.36,1815152.72,100%,82,82,82
13:41:29,145,9280000,34.51,34.08,28.89,1848973.9,100%,83,83,83
13:41:34,116,7424000,42.98,42.01,23.11,1479179.12,100%,84,84,84
13:41:39,165,10560000,30.18,29.18,32.92,2106943.34,100%,85,85,85
13:41:44,173,11072000,28.71,27.75,34.6,2214400,100%,86,86,86
13:41:49,177,11328000,28.22,27.76,35.29,2258823.53,100%,87,87,87
13:41:54,124,7936000,40.2,39.39,24.74,1583399.84,100%,88,88,88
13:41:59,159,10176000,31.21,30.24,31.77,2033573.14,100%,89,89,89
13:42:04,160,10240000,31.14,30.26,31.89,2041060.39,100%,90,90,90
13:42:09,166,10624000,30.11,29.72,33.12,2119712.69,100%,91,91,91
13:42:14,182,11648000,27.25,26.28,36.4,2329600,100%,92,92,92
13:42:19,151,9664000,33.01,32.05,30.1,1926634.77,100%,93,93,93
13:42:24,177,11328000,31.56,30.52,31.47,2013866.67,100%,94,94,94
13:42:29,144,9216000,34.72,34.25,28.7,1836588.28,100%,95,95,95
13:42:34,159,10176000,31.4,30.45,31.7,2028708.13,100%,96,96,96
13:42:39,150,9600000,33.13,32.16,29.99,1919232.31,100%,97,97,97
13:42:44,159,10176000,31.36,30.43,31.67,2026687.91,100%,98,98,98
13:42:49,153,9792000,32.83,32.41,30.41,1945945.95,100%,99,99,99
13:42:54,162,10368000,30.93,30.02,32.17,2059185.7,100%,100,100,100
13:42:59,173,11072000,28.79,27.77,34.46,2205138.42,100%,101,101,101
13:43:04,154,9856000,32.44,31.61,30.68,1963346.61,100%,102,102,102
13:43:09,172,11008000,29.1,28.6,34.26,2192391.95,100%,103,103,103
13:43:14,161,10304000,30.94,29.96,32.11,2055045.87,100%,104,104,104
13:43:19,170,10880000,29.36,28.46,33.78,2162162.16,100%,105,105,105
13:43:24,153,9792000,32.48,31.61,30.58,1957225.66,100%,106,106,106
13:43:29,174,11136000,28.71,28.16,34.74,2223198.24,100%,107,107,107
13:43:34,159,10176000,31.83,30.91,31.25,2000000,100%,108,108,108
13:43:39,150,9600000,33.21,32.27,29.94,1916167.66,100%,109,109,109
13:43:44,162,10368000,30.75,29.9,32.34,2069874.23,100%,110,110,110
13:43:49,175,11200000,28.55,27.98,34.87,2231520.22,100%,111,111,111
