Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56353,9479,19077,9533,1177831048000,0,405896652000,0,504.86,105.06,928.38,89.28,134.05,105.06,690.79,89.28,11.74,1.97,3.97,1.99,245318042.34,0,84539936.96,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54167,9011,18229,8943,1135517864000,0,387271132000,0,528.92,101.26,979.46,63.88,143.08,101.26,732.42,63.88,11.29,1.88,3.8,1.86,236606106.13,0,80694323.73,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,48046,8169,15920,8111,1013275144000,0,340422128000,0,457.22,138.76,643.88,264.35,169.1,138.76,445.69,264.35,10.01,1.7,3.32,1.69,211051519.6,0,70905720.57,0,99.72%
99.82%
99.69%
100%
