Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56517,9413,18902,9278,1191849612000,0,385778708000,0,517.07,103.12,912.68,60.85,137.36,103.12,685.41,60.85,11.77,1.96,3.94,1.93,248229860.93,0,80347127.28,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,53659,8819,17814,9073,1139566456000,0,372385008000,0,531.61,107.05,974.95,126.64,142.01,107.05,727.74,126.64,11.18,1.84,3.71,1.89,237459364.46,0,77594152.98,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,45891,7779,15490,7662,970310424000,0,326781472000,0,452.94,120.53,617.52,221.01,165.59,120.53,424.45,221.01,9.56,1.62,3.23,1.6,202090940.74,0,68060193.62,0,99.77%
99.68%
99.78%
100%
