Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,57807,9624,19144,9550,1211429328000,0,400918948000,0,511.76,95.02,810.97,207.73,136.66,95.02,578.01,207.73,12.04,2,3.99,1.99,252323485.96,0,83505516.83,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54309,8927,17906,9056,1134155460000,0,373894652000,0,526.13,102.83,971.36,122.27,142.94,102.83,722.18,122.27,11.32,1.86,3.73,1.89,236301303.66,0,77900216.69,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,49856,8361,16709,8385,1040202824000,0,352040768000,0,451.85,139.49,642.25,263.53,168.89,139.49,456.83,263.53,10.38,1.74,3.48,1.75,216656403.83,0,73323875.14,0,99.76%
99.7%
99.78%
100%
