Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56579,9395,18728,9450,1188924740000,0,391146176000,0,509.52,103.9,939.12,65.11,136.64,103.9,701.25,65.11,11.78,1.96,3.9,1.97,247634849.67,0,81469731.03,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54199,8956,17824,9007,1139706160000,0,366555520000,0,528.28,108.36,999.94,62.92,141.32,108.36,752.16,62.92,11.29,1.87,3.71,1.88,237455498.65,0,76371125.68,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,49057,8428,16425,8304,1022760976000,0,347708820000,0,451.25,138.85,641.66,258.09,168.73,138.85,451.03,258.09,10.22,1.76,3.42,1.73,212996908.86,0,72412777.46,0,99.74%
99.76%
99.74%
100%
