Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56038,9151,18670,9444,1171668100000,0,389443192000,0,511.17,103.36,940.69,90.62,134.6,103.36,697.46,90.62,11.67,1.91,3.89,1.97,244029239.66,0,81111363.63,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,53479,8918,17893,9057,1121080852000,0,369244228000,0,529.45,101.38,975.43,147.42,140.61,101.38,731.79,147.42,11.14,1.86,3.73,1.89,233503620.33,0,76907964.84,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,45815,7832,15200,7545,960343916000,0,321670316000,0,444.42,127.03,632.77,223.21,160.69,127.03,438.67,223.21,9.57,1.64,3.17,1.58,200515307.67,0,67159317.43,0,99.78%
99.78%
99.69%
100%
