Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56859,9373,18778,9309,1195221912000,0,392789116000,0,516.68,95.64,909.22,71.15,137.87,95.64,670.2,71.15,11.84,1.95,3.91,1.94,248931239.46,0,81806954.82,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54182,9002,18018,9156,1142663732000,0,380389788000,0,530.07,104.8,975.71,82.97,142.1,104.8,731.14,82.97,11.29,1.88,3.75,1.91,238016298.23,0,79234947.89,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,52074,8647,17135,8617,1093076448000,0,360767468000,0,448.34,144.61,607.8,233.28,163.8,144.61,414.99,233.28,10.85,1.8,3.57,1.79,227660341.53,0,75138612.82,0,99.78%
99.75%
99.77%
100%
