Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,54473,9016,18053,9093,1146866984000,0,379923644000,0,545.29,97.55,930.97,67.15,137.41,97.55,659.16,67.15,11.35,1.88,3.76,1.89,238893774.28,0,79138335.02,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,51930,8648,17455,8613,1098563220000,0,365300236000,0,558.18,108.13,1005.2,62.39,140.97,108.12,725.13,62.39,10.82,1.8,3.64,1.79,228812934.34,0,76085896.7,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,46265,7761,15535,7831,962584124000,0,326264296000,0,491.62,128.76,660.86,214.18,172.15,128.75,440.71,214.18,9.68,1.62,3.25,1.64,201415426.89,0,68265086.97,0,99.74%
99.63%
99.73%
100%
