Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56942,9652,18650,9552,1197313208000,0,386496212000,0,510.99,101.74,913.79,92.83,135.61,101.74,685.1,92.83,11.86,2.01,3.88,1.99,249378969.54,0,80500121.5,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,53420,8764,18110,8927,1120690784000,0,380913512000,0,530.12,103.92,1004.91,63.55,141.65,103.92,760.42,63.55,11.13,1.83,3.77,1.86,233479119.14,0,79357383.4,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,47288,7935,15824,8012,987584348000,0,339234728000,0,448.81,152.36,640.7,266.7,165.75,152.36,439.68,266.7,9.9,1.66,3.31,1.68,206766578.69,0,71027365.12,0,99.69%
99.65%
99.79%
100%
