Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56380,9539,19015,9545,1187074768000,0,393843736000,0,515.13,101.7,901.19,90.32,136.45,101.7,665.54,90.32,11.74,1.99,3.96,1.99,247227524.45,0,82024305.72,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54063,9163,17890,8923,1143580644000,0,377105836000,0,531.22,105.24,992.51,62.47,143.1,105.24,745.95,62.47,11.26,1.91,3.73,1.86,238241638.04,0,78561339.25,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,46244,7927,15462,7716,975945428000,0,324231012000,0,460.66,150.27,634.71,284.16,170.13,150.27,445.32,284.16,9.67,1.66,3.23,1.61,204119836.43,0,67813412.24,0,99.71%
99.67%
99.66%
100%
