Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56241,9441,18792,9453,1181303376000,0,397238208000,0,512.28,104.75,936.77,63.94,135.95,104.74,703.87,63.94,11.71,1.97,3.91,1.97,246045684.21,0,82738150.51,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54212,9093,18041,8925,1146061016000,0,377368028000,0,528.7,103.32,989.17,61.98,140.8,103.32,742.55,61.98,11.29,1.89,3.76,1.86,238744769.98,0,78612414.04,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,45695,7577,15255,7605,961259804000,0,323496372000,0,452.66,126.51,635.95,331.38,165.15,126.5,444.82,331.38,9.54,1.58,3.18,1.59,200592856.1,0,67500235.99,0,99.69%
99.74%
99.58%
100%
