Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
list,list,773,0,104.87,104.87,0.16,0,99.49%
write,write,1444,33388924000,708.36,484.65,0.3,6954103.31,99.72%
delete,delete,752,0,200.88,200.88,0.16,0,100%
read,read,4509,91328160000,486.18,166.31,0.95,19252442.92,99.73%
list,list,717,0,101.68,101.68,0.15,0,99.45%
write,write,1549,32869108000,674.47,437.17,0.33,6928975.96,99.68%
delete,delete,725,0,158.78,158.78,0.15,0,100%
read,read,4536,93490644000,489.45,176.85,0.94,19469271.6,99.71%
list,list,722,0,156.32,156.32,0.15,0,99.18%
write,write,1532,29986472000,618.73,424.39,0.32,6244633.08,99.8%
delete,delete,715,0,198.92,198.92,0.15,0,100%
read,read,4395,91456188000,489.47,165.6,0.93,19253938.37,99.57%
list,list,766,0,129.04,129.04,0.16,0,99.87%
write,write,1474,31620880000,680.2,450.83,0.31,6657028.77,99.86%
delete,delete,755,0,172.93,172.93,0.16,0,100%
read,read,4862,102802652000,444.41,158.71,1.01,21410644.31,99.71%
list,list,860,0,182.72,182.72,0.18,0,99.88%
write,write,1633,34640728000,607.49,387.09,0.34,7214602.85,99.69%
delete,delete,785,0,333.93,333.93,0.16,0,100%
read,read,5112,105762012000,430.72,154.78,1.06,22031480.5,99.75%
list,list,814,0,111,111,0.17,0,99.75%
write,write,1789,37198120000,618.95,427.58,0.37,7748809.24,99.83%
delete,delete,904,0,271.18,271.18,0.19,0,100%
read,read,5183,107992064000,451.85,171.31,1.08,22494325.81,99.71%
list,list,907,0,143.95,143.95,0.19,0,99.89%
write,write,1720,37063840000,553.95,378.81,0.36,7720253.34,99.94%
delete,delete,860,0,366.35,366.35,0.18,0,100%
read,read,4803,105160968000,455.84,161.76,1,21902963.43,99.73%
list,list,791,0,156.8,156.8,0.16,0,99.75%
write,write,1523,32668988000,635.86,437.27,0.32,6804308.32,99.61%
delete,delete,803,0,280.14,280.14,0.17,0,100%
read,read,4880,103001300000,446.24,162.46,1.02,21451654.72,99.8%
list,list,799,0,170.82,170.82,0.17,0,99.88%
write,write,1675,36016948000,599.48,421.21,0.35,7501100.79,99.52%
delete,delete,812,0,371.65,371.65,0.17,0,100%
read,read,5178,106877400000,445.99,171.77,1.08,22258844.5,99.81%
list,list,840,0,115.53,115.53,0.17,0,99.76%
write,write,1700,36475352000,597.16,396.58,0.35,7596546.96,99.71%
delete,delete,833,0,409.96,409.96,0.17,0,100%
read,read,5204,108449792000,442.7,162.37,1.08,22584672.8,99.85%
list,list,893,0,110.11,110.11,0.19,0,99.78%
write,write,1698,33791592000,531.02,367.42,0.35,7037100.16,99.59%
delete,delete,906,0,480.76,480.76,0.19,0,100%
read,read,4936,105687736000,453.03,170.58,1.03,22010455.45,99.76%
list,list,861,0,119.87,119.87,0.18,0,99.77%
write,write,1737,36805800000,594.36,383.82,0.36,7665150.68,99.77%
delete,delete,836,0,367.73,367.73,0.17,0,100%
read,read,4732,97950844000,459.46,171.78,0.99,20405647.87,99.66%
list,list,810,0,112.85,112.85,0.17,0,99.63%
write,write,1664,32611160000,601.93,385.8,0.35,6793732.66,99.88%
delete,delete,836,0,258.95,258.95,0.17,0,100%
read,read,5052,108052812000,447.73,163.27,1.05,22504293.41,99.74%
list,list,863,0,121.85,121.85,0.18,0,99.77%
write,write,1703,36016700000,564.15,388.53,0.35,7501242.86,99.88%
delete,delete,837,0,501.06,501.06,0.17,0,100%
read,read,5111,109756760000,459.54,161.38,1.07,22957160.29,99.75%
list,list,848,0,102.1,102.1,0.18,0,99.76%
write,write,1689,33723744000,586.01,382.51,0.35,7053792.37,99.76%
delete,delete,867,0,197.63,197.63,0.18,0,100%
read,read,4937,105495944000,441.63,150.13,1.03,22000074.24,99.66%
list,list,868,0,110.96,110.96,0.18,0,100%
write,write,1706,34379432000,596.36,418.52,0.36,7169470.48,99.71%
delete,delete,836,0,164.67,164.67,0.17,0,100%
read,read,4888,106014484000,455.01,154.43,1.02,22077161.21,99.65%
list,list,826,0,109.12,109.12,0.17,0,99.88%
write,write,1686,36278760000,612.84,440.44,0.35,7554930.26,99.88%
delete,delete,776,0,268.11,268.11,0.16,0,100%
read,read,5086,107531932000,440.42,152.8,1.06,22497721.5,99.86%
list,list,818,0,123.75,123.75,0.17,0,99.51%
write,write,1614,33591180000,574.55,403.49,0.34,7027912.53,99.51%
delete,delete,852,0,355.14,355.14,0.18,0,100%
read,read,5068,112572904000,465.54,159.95,1.07,23706356.22,99.84%
list,list,832,0,136.64,136.64,0.18,0,99.4%
write,write,1690,35034088000,591.68,422.42,0.36,7377712.94,99.71%
delete,delete,880,0,188.89,188.89,0.19,0,100%
read,read,4883,99792044000,441.27,159.38,1.02,20787254.86,99.61%
list,list,806,0,101.61,101.61,0.17,0,99.75%
write,write,1578,31888404000,609.18,418.26,0.33,6642537.36,99.81%
delete,delete,790,0,142.08,142.08,0.16,0,100%
