Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56993,9342,18787,9340,1188664028000,0,400190248000,0,506.16,104.06,936.35,64.21,136.56,104.06,691.55,64.21,11.87,1.95,3.91,1.95,247562357.35,0,83347461.25,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54943,9281,18869,9124,1156168588000,0,397186124000,0,530.75,104.43,849.76,201.89,141.42,104.43,598.98,201.89,11.44,1.93,3.93,1.9,240813383.45,0,82728385.74,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,52529,8783,17864,8777,1106842268000,0,373827512000,0,435.38,110.8,579.5,332.12,154.6,110.8,393.13,332.12,10.97,1.84,3.73,1.83,231256615,0,78105581.22,0,99.77%
99.78%
99.82%
100%
