Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1846,39624892000,999.93,735.53,0.38,8253517.93,100%
delete,delete,915,0,62.05,62.05,0.19,0,100%
read,read,5348,112842692000,533.78,149.6,1.11,23510936.68,100%
list,list,891,0,110.69,110.68,0.19,0,100%
write,write,1775,37723460000,1006.08,756.8,0.37,7859736.98,100%
delete,delete,857,0,70.17,70.17,0.18,0,100%
read,read,5522,118875332000,532.32,143.18,1.15,24832586.95,100%
list,list,901,0,106.81,106.81,0.19,0,100%
write,write,1680,35885304000,1004.42,759.75,0.35,7496298.15,100%
delete,delete,879,0,72.31,72.31,0.18,0,100%
read,read,5421,114937968000,528.51,139.38,1.13,23941923.46,100%
list,list,895,0,94.91,94.91,0.19,0,100%
write,write,1789,38180140000,1003.91,753.32,0.37,7953037.67,100%
delete,delete,950,0,57.14,57.14,0.2,0,100%
read,read,5389,111796864000,524.23,137.26,1.12,23282330.96,100%
list,list,895,0,109.84,109.84,0.19,0,100%
write,write,1861,37267480000,985.56,743.78,0.39,7761164.07,100%
delete,delete,908,0,48.31,48.31,0.19,0,100%
read,read,5505,118484952000,529.45,137.77,1.15,24690043.71,100%
list,list,937,0,102.17,102.17,0.2,0,100%
write,write,1853,37594568000,934.87,696.15,0.39,7834003.49,100%
delete,delete,885,0,63,63,0.18,0,100%
read,read,5361,114349320000,529.31,140.43,1.12,23816865.44,100%
list,list,911,0,101.43,101.43,0.19,0,100%
write,write,1796,38116256000,1007.92,754.78,0.37,7938916.82,100%
delete,delete,931,0,65.02,65.02,0.19,0,100%
read,read,5288,111793160000,528.09,143.49,1.1,23301096.09,100%
list,list,927,0,90.5,90.5,0.19,0,100%
write,write,1726,37591240000,1046.93,765.61,0.36,7835158.21,100%
delete,delete,897,0,127,127,0.19,0,100%
read,read,5218,111264724000,545.15,141.42,1.09,23170650.87,100%
list,list,903,0,94.67,94.67,0.19,0,100%
write,write,1812,38247324000,948.09,715.19,0.38,7964926.88,100%
delete,delete,945,0,162.48,162.48,0.2,0,100%
read,read,5285,111464708000,524.9,136.8,1.1,23217881.64,100%
