Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1933,40217968000,879.43,659.69,0.4,8381372.99,100%
delete,delete,910,0,50.62,50.62,0.19,0,100%
read,read,5854,121902112000,500.72,129.57,1.22,25386684.57,100%
list,list,1014,0,86.33,86.33,0.21,0,100%
write,write,1881,38052744000,919.52,688.43,0.39,7924661.79,100%
delete,delete,1011,0,52.48,52.48,0.21,0,100%
read,read,5707,116784028000,501.92,138.41,1.19,24328916.1,100%
list,list,952,0,113.22,113.22,0.2,0,100%
write,write,1980,41659320000,889.11,661.13,0.41,8678636.27,100%
delete,delete,965,0,69.52,69.52,0.2,0,100%
read,read,5759,121043036000,500.57,134.43,1.2,25207788.48,100%
list,list,968,0,103.93,103.93,0.2,0,100%
write,write,1977,40286076000,887.64,662.08,0.41,8389767.11,100%
delete,delete,966,0,65.32,65.32,0.2,0,100%
read,read,5812,122617216000,502.98,136.42,1.21,25539299.48,100%
list,list,927,0,99.1,99.1,0.19,0,100%
write,write,1871,39560180000,921.84,675.79,0.39,8239783.27,100%
delete,delete,970,0,62.64,62.64,0.2,0,100%
read,read,5530,115599124000,509.99,138.72,1.15,24075020.5,100%
list,list,898,0,106.51,106.51,0.19,0,100%
write,write,1919,40609904000,953.09,705.28,0.4,8457540.48,100%
delete,delete,911,0,61.84,61.84,0.19,0,100%
read,read,5571,114553956000,505.52,140.49,1.16,23857917.11,100%
list,list,893,0,107.74,107.74,0.19,0,100%
write,write,1949,40020896000,936.92,683.98,0.41,8335069.8,100%
delete,delete,958,0,65.34,65.34,0.2,0,100%
read,read,5580,115604484000,511.38,132.26,1.16,24075891.1,100%
list,list,963,0,106.38,106.38,0.2,0,100%
write,write,1950,40021260000,902.63,679.75,0.41,8334862.66,100%
delete,delete,972,0,87.64,87.64,0.2,0,100%
read,read,5710,119927716000,510.34,138.53,1.19,24974644,100%
list,list,943,0,96.63,96.63,0.2,0,100%
write,write,1900,41396092000,900.24,672.76,0.4,8620631.62,100%
delete,delete,895,0,96.06,96.06,0.19,0,100%
read,read,5521,120053404000,532.81,146.51,1.15,25002921.75,100%
list,list,943,0,106.81,106.8,0.2,0,100%
write,write,1869,38315304000,888.56,635.55,0.39,7979736.65,100%
delete,delete,988,0,99.32,99.32,0.21,0,100%
read,read,5525,118872824000,521.82,134.69,1.15,24766833.11,100%
list,list,950,0,98.38,98.38,0.2,0,100%
write,write,1911,39365244000,911.82,661.77,0.4,8201642.69,100%
delete,delete,926,0,86.67,86.67,0.19,0,100%
read,read,5541,115663320000,519.73,142.64,1.15,24086539.12,100%
list,list,917,0,110.62,110.62,0.19,0,100%
write,write,1820,41130644000,957.15,700.9,0.38,8565333.12,100%
delete,delete,923,0,84.84,84.84,0.19,0,100%
read,read,5761,119079724000,491.54,131.56,1.2,24799988.5,100%
