Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56444,9429,18792,9476,1184263208000,0,394099932000,0,510.63,100.52,939.05,62.36,137.52,100.52,698.62,62.36,11.76,1.96,3.91,1.97,246665161.78,0,82085379.9,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54142,9158,18048,9006,1136748712000,0,382023528000,0,524.26,104.14,1000.32,66.3,141.45,104.14,754.99,66.3,11.28,1.91,3.76,1.88,236856425.08,0,79600235.83,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,38911,6668,12847,6519,814894036000,0,272528776000,0,439.86,124.09,604.67,283.26,158.34,124.09,420.1,283.26,8.14,1.39,2.69,1.36,170449800.49,0,57009034.05,0,99.69%
99.78%
99.73%
100%
