Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56252,9200,18650,9519,1175074040000,0,389574116000,0,515.4,103.72,935.45,64.49,136.74,103.72,696.95,64.49,11.72,1.92,3.88,1.98,244753753.74,0,81143278.15,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,53603,9059,17876,8940,1130714252000,0,374942864000,0,530.03,105.15,1010.88,64.23,142.88,105.15,755.89,64.23,11.16,1.89,3.72,1.86,235504926.4,0,78092866.42,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,48571,8043,16145,8089,1021217716000,0,333809216000,0,452.84,131.37,611.87,299.56,166.11,131.37,427.31,299.56,10.15,1.68,3.37,1.69,213464503.92,0,69779547.74,0,99.7%
99.75%
99.79%
100%
