Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
00:44:31,1468,246,475,264,30441760000,0,10364836000,0,629.48,137.29,777.9,50.9,135.71,137.29,550.18,50.9,283.73,46.63,90.96,52.17,6008639532.74,0,1998702556.85,0,100%,100%,100%,100%,26,26,26
00:44:36,1480,212,488,264,33193552000,0,9054908000,0,555.88,114.53,950.36,71.84,130.88,114.53,721.25,71.84,280.95,41.62,91.78,50.93,6388621667.97,0,1678128643.09,0,100%,100%,100%,100%,27,27,27
00:44:41,1450,221,507,279,28475848000,0,9711444000,0,431.76,114.13,917.08,76.72,112.77,114.13,727.78,76.72,285.11,43.08,98.44,53.92,5651365904.25,0,1882734736.07,0,100%,100%,100%,100%,28,28,28
00:44:46,1180,202,380,175,24012712000,0,7021244000,0,455.26,80.41,935.6,62.03,128.11,80.41,717.13,62.03,253.18,42.95,83.31,36.05,5222445981.06,0,1598301799.39,0,100%,100%,100%,100%,29,29,29
00:44:51,1452,258,490,233,29917980000,0,10628524000,0,441.34,120.76,1168.52,45.55,127.9,120.76,929,45.55,337.06,61.07,116.11,53.08,6786967891.23,0,2558048488.31,0,100%,100%,100%,100%,30,30,30
00:44:56,1566,250,537,281,33328920000,0,12004764000,0,460.82,87.23,1088.45,51.73,118.13,87.23,862.95,51.73,297.93,47.69,102.5,54.05,6320396549.99,0,2277075464.94,0,100%,100%,100%,100%,31,31,31
00:45:01,1418,242,478,240,30637796000,0,9775720000,0,577.2,126.02,750.19,70,125.91,126.02,506.53,70,261.31,44.67,87.8,42.88,5652146549.81,0,1769497208.54,0,100%,100%,100%,100%,32,32,32
00:45:06,1378,257,453,225,28999096000,0,8988576000,0,549,106.36,810.89,63.3,116.26,106.36,584.82,63.3,264.94,49.58,86.38,42.96,5519742873.05,0,1734080986.57,0,100%,100%,100%,100%,33,33,33
00:45:11,1061,178,305,155,24795380000,0,5577980000,0,646.85,86.07,853.42,77.82,154.46,86.07,643.66,77.82,212.96,36.95,62.4,31.59,4950207564.34,0,1145232617.24,0,100%,100%,100%,100%,34,34,34
00:45:16,1313,213,478,207,26506820000,0,11216644000,0,385.31,85.22,1828.47,68.34,101.71,85.22,1636.33,68.34,304.36,49.42,111.28,48.22,5999327797.57,0,2581322527.38,0,100%,100%,100%,100%,35,35,35
