Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56621,9558,18796,9365,1179885632000,0,401768032000,0,507.51,96.47,944.09,64.85,135.18,96.47,697.78,64.85,11.79,1.99,3.91,1.95,245734665.02,0,83676207.29,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54626,9094,18106,9001,1144838864000,0,380063620000,0,522.49,111.76,986.05,64.94,142.16,111.76,737.6,64.94,11.38,1.89,3.77,1.88,238507946.63,0,79179793.07,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,47370,7788,16150,7950,992237028000,0,344160112000,0,444.64,123.69,637.52,268.07,156.03,123.69,441.42,268.07,9.91,1.63,3.38,1.66,207509225.84,0,71973902.18,0,99.71%
99.74%
99.64%
100%
