Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,55940,9537,18718,9444,1170809312000,0,396123808000,0,507.48,106.18,945.69,96.12,135.37,106.18,705.27,96.12,11.65,1.99,3.9,1.97,243845446.05,0,82501264.48,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,53548,8841,17944,9001,1131964120000,0,371274184000,0,533,109.2,981.69,98.55,144.56,109.2,734.23,98.55,11.15,1.84,3.74,1.87,235760791.01,0,77327626.01,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,48036,8138,16045,8015,1010856960000,0,345012868000,0,452.43,128.21,604.04,244.48,165.57,128.21,415.88,244.48,10.06,1.7,3.36,1.68,211718196.53,0,72263874.21,0,99.74%
99.68%
99.62%
100%
