Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,57289,9497,19282,9496,1200798472000,0,401714824000,0,506.47,103.3,903.04,62.75,136.04,103.3,667.92,62.75,11.93,1.98,4.02,1.98,250121128.74,0,83675333.61,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,54545,9044,18352,8949,1150586216000,0,383602192000,0,524.26,99.3,970.66,74.03,141.39,99.3,721.65,74.03,11.37,1.89,3.83,1.87,239834516.24,0,79958764.63,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,49051,8145,16398,8144,1052631184000,0,336836100000,0,449.76,111.05,595.22,207.81,156.03,111.05,411.71,207.81,10.26,1.7,3.43,1.7,220118993.63,0,70436730.84,0,99.71%
99.71%
99.7%
100%
