================================================== stage: s1-init ==================================================
---------------------------------- mission: ME2A7172DFD, driver: driver1 ----------------------------------
2019-07-25 14:43:02,527 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects60
2019-07-25 14:43:02,583 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects61
2019-07-25 14:43:02,611 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects62
2019-07-25 14:43:02,641 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects63
2019-07-25 14:43:02,667 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects64
2019-07-25 14:43:02,699 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects65
2019-07-25 14:43:02,735 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects66
2019-07-25 14:43:02,801 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects67
2019-07-25 14:43:02,833 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects68
2019-07-25 14:43:02,886 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects69
2019-07-25 14:43:02,916 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects70
2019-07-25 14:43:02,969 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects71
2019-07-25 14:43:03,008 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects72
2019-07-25 14:43:03,069 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects73
2019-07-25 14:43:03,102 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects74
2019-07-25 14:43:03,144 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects75
2019-07-25 14:43:03,169 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects76
2019-07-25 14:43:03,196 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects77
2019-07-25 14:43:03,232 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects78
2019-07-25 14:43:03,384 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects79
2019-07-25 14:43:03,424 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects80
2019-07-25 14:43:03,474 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects81
2019-07-25 14:43:03,498 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects82
2019-07-25 14:43:03,525 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects83
2019-07-25 14:43:03,580 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects84
2019-07-25 14:43:03,624 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects85
2019-07-25 14:43:03,704 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects86
2019-07-25 14:43:03,771 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects87
2019-07-25 14:43:03,970 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects88
2019-07-25 14:43:04,016 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects89
2019-07-25 14:43:04,109 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects90
2019-07-25 14:43:04,169 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects91
2019-07-25 14:43:04,218 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects92
2019-07-25 14:43:04,269 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects93
2019-07-25 14:43:04,307 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects94
2019-07-25 14:43:04,351 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects95
2019-07-25 14:43:04,413 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects96
2019-07-25 14:43:04,570 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects97
2019-07-25 14:43:04,612 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects98
2019-07-25 14:43:04,651 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects99
