================================================== stage: s1-init ==================================================
---------------------------------- mission: MF17CA8A633, driver: driver1 ----------------------------------
2020-03-26 13:01:31,471 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects60
2020-03-26 13:01:31,496 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects61
2020-03-26 13:01:31,511 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects62
2020-03-26 13:01:31,535 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects63
2020-03-26 13:01:31,553 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects64
2020-03-26 13:01:31,569 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects65
2020-03-26 13:01:31,587 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects66
2020-03-26 13:01:31,616 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects67
2020-03-26 13:01:31,639 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects68
2020-03-26 13:01:31,654 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects69
2020-03-26 13:01:31,670 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects70
2020-03-26 13:01:31,685 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects71
2020-03-26 13:01:31,704 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects72
2020-03-26 13:01:31,721 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects73
2020-03-26 13:01:31,737 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects74
2020-03-26 13:01:31,752 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects75
2020-03-26 13:01:31,767 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects76
2020-03-26 13:01:31,785 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects77
2020-03-26 13:01:31,800 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects78
2020-03-26 13:01:31,817 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects79
2020-03-26 13:01:31,836 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects80
2020-03-26 13:01:31,867 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects81
2020-03-26 13:01:31,886 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects82
2020-03-26 13:01:31,904 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects83
2020-03-26 13:01:31,919 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects84
2020-03-26 13:01:31,934 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects85
2020-03-26 13:01:31,950 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects86
2020-03-26 13:01:31,965 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects87
2020-03-26 13:01:31,982 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects88
2020-03-26 13:01:31,998 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects89
2020-03-26 13:01:32,013 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects90
2020-03-26 13:01:32,028 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects91
2020-03-26 13:01:32,060 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects92
2020-03-26 13:01:32,078 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects93
2020-03-26 13:01:32,098 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects94
2020-03-26 13:01:32,113 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects95
2020-03-26 13:01:32,129 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects96
2020-03-26 13:01:32,145 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects97
2020-03-26 13:01:32,162 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects98
2020-03-26 13:01:32,186 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects99
2020-03-26 13:01:32,203 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects100
2020-03-26 13:01:32,219 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects101
2020-03-26 13:01:32,252 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects102
2020-03-26 13:01:32,283 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects103
2020-03-26 13:01:32,304 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects104
2020-03-26 13:01:32,326 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects105
