Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w94-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w94-s2-preparing_cluster-1,prepare-write,7339717,109780225000,40,86.09,86.03,90,100,110,110,150,3170,464.18,6942750.42,100%,100% containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(3000001-50000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w95-s1-cleanup-1,cleanup-delete,116685421,0,150,10.33,10.33,10,10,10,10,170,20010,14522.98,0,100%,100% containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) deleteContainer=false containers=r(1-5)  objects=r(1-50000000)
w96-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w97-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w98-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w99-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w100-s1-MAIN-1,read,2943428,44114597000,250,21.04,21.01,20,30,30,40,170,790,817.7,12255317.5,62.11%,60% containers=c(1) objects=u(1-31000000)
w100-s1-MAIN-2,list,491872,0,250,4.18,4.18,10,10,10,10,30,390,136.65,0,62.21%,10% containers=c(1) objects=u(1-31000000)
w100-s1-MAIN-3,write,1262463,18925667000,250,334.17,334.1,390,620,760,880,1380,5220,350.72,5257671.7,100%,16% containers=c(2) objects=u(1-31000000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w100-s1-MAIN-4,delete,1105542,0,250,8.41,8.41,10,10,10,10,150,5060,307.13,0,100%,14% containers=c(2) objects=u(1-31000000)
w101-s1-cleanup-1,cleanup-delete,1343092,0,20,19.25,19.25,20,40,50,50,100,1680,1038.49,0,100%,100% containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) containers=r(1-5)  objects=r(1-50000000) deleteContainer=false containers=r(1-5)  objects=r(1-50000000)
w102-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w102-s2-preparing_cluster-1,prepare-write,65440,995160000,20,38.84,38.78,40,50,50,50,60,3330,513.82,7813791.45,100%,100% containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w103-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w103-s2-preparing_cluster-1,prepare-write,43200000,646747907000,20,37.67,37.61,40,50,50,60,80,4760,529.82,7931994.56,100%,100% containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w104-s1-MAIN-1,read,2451729,36747852000,20,20.15,20.12,20,30,30,40,170,1000,681.04,10207787.91,100%,60% containers=u(3-5) objects=u(1-8640000)
w104-s1-MAIN-2,list,409427,0,20,3.75,3.75,10,10,10,10,20,270,113.73,0,100%,10% containers=u(3-5) objects=u(1-8640000)
w104-s1-MAIN-3,write,653041,9760297000,20,18.89,18.82,20,20,30,50,200,920,181.4,2711207.13,100%,16% containers=u(1-2) objects=u(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w104-s1-MAIN-4,delete,570852,0,20,15.07,15.07,10,20,20,50,180,830,158.57,0,100%,14% containers=u(1-2) objects=u(1-8640000)
w105-s1-MAIN-1,write,7411289,110880031000,20,16.17,16.11,10,20,30,50,200,2250,1029.35,15400088.06,100%,80% containers=u(1-5) objects=s(8640001-17280000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w105-s1-MAIN-2,delete,1855628,0,20,12.64,12.64,10,20,20,40,190,2210,257.73,0,100%,20% containers=u(1-5) objects=s(1-17280000)
w106-s1-cleanup-1,cleanup-delete,41322022,0,20,6.48,6.48,10,10,20,30,60,246430,3111.51,0,100%,100% containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) deleteContainer=false containers=r(1-5)  objects=r(1-17280000)
w107-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w107-s2-preparing_cluster-1,prepare-write,43200000,646592335000,20,36.61,36.56,40,50,50,50,80,5600,544.95,8156493.41,100%,100% containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-8640000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w108-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w109-s1-cleanup-1,cleanup-delete,8586000,0,30,6.3,6.3,10,10,20,30,70,8220,4752.94,0,100%,100% containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) containers=r(1-5)  objects=r(1-17280000) deleteContainer=false containers=r(1-5)  objects=r(1-17280000)
w110-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w110-s2-preparing_cluster-1,prepare-write,4320000,64808399000,30,50.91,50.78,60,70,80,80,90,1880,590.29,8854823.21,100%,100% containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-864000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w111-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w111-s2-preparing_cluster-1,prepare-write,1080000,16224805000,45,72.98,72.85,90,100,110,120,140,470,633.61,9512237.17,100%,100% containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-216000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w112-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w112-s2-preparing_cluster-1,prepare-write,1000000,15022282000,60,97.62,97.5,110,130,140,150,170,320,638.79,9586609.65,100%,100% containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w113-s1-MAIN-1,read,4350810,65327719000,30,5.33,5.3,10,10,20,20,30,4250,2417.12,36293283.75,100%,60% containers=u(3-5) objects=u(1-200000)
w113-s1-MAIN-2,list,726976,0,30,2.92,2.92,10,10,10,10,10,260,403.88,0,100%,10% containers=u(3-5) objects=u(1-200000)
w113-s1-MAIN-3,write,1158616,17362590000,30,15.87,15.72,20,30,30,40,60,4300,643.68,9645911.67,100%,16% containers=u(1-2) objects=u(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w113-s1-MAIN-4,delete,1013597,0,30,9.83,9.83,10,20,30,40,60,3620,563.11,0,100%,14% containers=u(1-2) objects=u(1-200000)
w114-s1-MAIN-1,write,4023773,60178183000,30,12.06,11.93,20,20,30,30,50,680,2235.43,33432404.61,100%,80% containers=u(1-5) objects=s(200000-400000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w114-s1-MAIN-2,delete,1003012,0,30,4.92,4.92,10,10,10,20,30,510,557.23,0,100%,20% containers=u(1-5) objects=s(1-400000)
w115-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w115-s2-preparing_cluster-1,prepare-write,1000000,14973661000,75,125.03,124.9,140,170,190,210,250,1440,625.41,9365032.93,100%,100% containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w116-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w116-s2-preparing_cluster-1,prepare-write,1000000,14927302000,90,144.2,144.07,160,200,240,270,320,1560,654.99,9793533.93,100%,100% containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w117-s1-MAIN-1,read,4452214,66818306000,45,5.32,5.29,10,10,20,20,30,2470,2473.48,37121764.04,100%,60% containers=u(3-5) objects=u(1-200000)
w117-s1-MAIN-2,list,742865,0,45,2.92,2.92,10,10,10,10,10,1900,412.71,0,100%,10% containers=u(3-5) objects=u(1-200000)
w117-s1-MAIN-3,write,1187657,17772200000,45,30.03,29.87,30,50,70,80,120,1800,659.82,9873573.22,100%,16% containers=u(1-2) objects=u(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w117-s1-MAIN-4,delete,1040004,0,45,18.37,18.37,20,40,50,70,100,2430,577.79,0,100%,14% containers=u(1-2) objects=u(1-200000)
w118-s1-MAIN-1,write,4298358,64300172000,45,17.11,16.97,20,30,40,50,80,270,2388,35722652.16,100%,80% containers=u(1-5) objects=s(200000-400000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w118-s1-MAIN-2,delete,1073920,0,45,6.41,6.41,10,10,20,30,60,210,596.63,0,100%,20% containers=u(1-5) objects=s(1-400000)
w119-s1-MAIN-1,read,3057333,45660766000,60,4.02,3.99,10,10,10,10,20,960,1698.55,25367584.02,65.26%,60% containers=u(3-5) objects=u(1-200000)
w119-s1-MAIN-2,list,510346,0,60,2.96,2.96,10,10,10,10,10,190,283.53,0,65.32%,10% containers=u(3-5) objects=u(1-200000)
w119-s1-MAIN-3,write,1248412,18662071000,60,47.17,47.02,60,90,110,130,160,970,693.58,10368019.1,100%,16% containers=u(1-2) objects=u(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w119-s1-MAIN-4,delete,1090885,0,60,24.55,24.55,10,60,90,110,140,730,606.06,0,100%,14% containers=u(1-2) objects=u(1-200000)
w120-s1-MAIN-1,write,4477386,67055099000,60,22.84,22.71,20,40,50,70,110,320,2487.46,37253251.25,100%,80% containers=u(1-5) objects=s(200000-400000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w120-s1-MAIN-2,delete,1118158,0,60,4.6,4.6,10,10,10,20,60,210,621.21,0,100%,20% containers=u(1-5) objects=s(1-400000)
w121-s1-MAIN-1,read,10333,150828000,75,4.22,4.19,10,10,10,10,10,60,1810.98,26431891.72,62.81%,60% containers=u(3-5) objects=u(1-200000)
w121-s1-MAIN-2,list,1764,0,75,3.01,3.01,10,10,10,10,10,20,309.12,0,62.31%,10% containers=u(3-5) objects=u(1-200000)
w121-s1-MAIN-3,write,4420,63040000,75,62.16,62.02,80,110,130,140,180,220,774.91,11056993.03,100%,16% containers=u(1-2) objects=u(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w121-s1-MAIN-4,delete,3811,0,75,21.44,21.44,10,40,80,110,150,220,667.89,0,100%,14% containers=u(1-2) objects=u(1-200000)
w122-s1-MAIN-1,write,4530109,67786989000,75,28.9,28.77,30,50,80,100,140,3280,2516.79,37660320.57,100%,80% containers=u(1-5) objects=s(200000-400000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w122-s1-MAIN-2,delete,1132705,0,75,3.06,3.06,10,10,10,10,10,2430,629.3,0,100%,20% containers=u(1-5) objects=s(1-400000)
w123-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w123-s2-preparing_cluster-1,prepare-write,1000000,14987862000,45,72.46,72.33,90,100,110,120,130,1750,632.77,9477307.24,100%,100% containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB createContainer=false containers=r(1-5) objects=r(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w124-s1-MAIN-1,read,4443922,66405637000,45,5.34,5.3,10,10,20,20,30,1800,2468.89,36892705.32,100%,60% containers=u(3-5) objects=u(1-200000)
w124-s1-MAIN-2,list,740367,0,45,2.92,2.92,10,10,10,10,10,1790,411.32,0,100%,10% containers=u(3-5) objects=u(1-200000)
w124-s1-MAIN-3,write,1185061,17751649000,45,30.05,29.89,30,50,70,80,120,1890,658.38,9862209.62,100%,16% containers=u(1-2) objects=u(1-200000) sizes=h(1|2|25-2|4|40-4|8|25-8|256|10)KB
w124-s1-MAIN-4,delete,1036388,0,45,18.48,18.48,20,40,50,70,100,1110,575.78,0,100%,14% containers=u(1-2) objects=u(1-200000)
