Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w64-s1-cleanup-1,cleanup-delete,975000,0,20,16.35,16.35,20,30,40,50,80,1260,1505.97,0,100%,100% containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) deleteContainer=false containers=r(1-5)  objects=r(1-195000)
w64-s2-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w65-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w65-s2-preparing_cluster-1,prepare-write,975000,51465910600000,20,518.54,75.81,50,320,740,1020,10370,17440,38.57,2035520760.41,100%,100% containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w66-s1-MAIN-1,read,4543846,237929023291000,20,599.06,51.77,80,250,800,990,11260,17970,26.3,1376926955.11,100%,60% containers=u(3-5) objects=u(1-195000)
w66-s1-MAIN-2,list,756546,0,20,6.24,6.24,10,10,10,30,60,1970,4.38,0,100%,10% containers=u(3-5) objects=u(1-195000)
w66-s1-MAIN-3,write,1211881,64477578796000,20,583.92,86.09,80,280,790,1000,10840,16720,7.01,373140352.61,100%,16% containers=u(1-2) objects=u(1-390000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w66-s1-MAIN-4,delete,1060583,0,20,19.89,19.89,20,40,50,80,150,4160,6.14,0,100%,14% containers=u(1-2) objects=u(1-390000)
w67-s1-MAIN-1,read,94452,4981263545000,20,599.9,50.19,80,250,790,1020,11140,17490,26.26,1385163177.69,100%,60% containers=u(3-5) objects=u(1-195000)
w67-s1-MAIN-2,list,15946,0,20,6.04,6.04,10,10,10,20,50,270,4.43,0,100%,10% containers=u(3-5) objects=u(1-195000)
w67-s1-MAIN-3,write,25331,1332871193000,20,582.16,81.54,70,250,820,1040,10780,15890,7.04,370646995.85,100%,16% containers=u(1-2) objects=u(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w67-s1-MAIN-4,delete,22004,0,20,18.56,18.56,20,30,50,70,110,850,6.12,0,100%,14% containers=u(1-2) objects=u(1-195000)
w68-s1-cleanup-1,cleanup-delete,975000,0,20,39.9,39.9,40,50,70,80,140,2460,501.13,0,100%,100% containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) deleteContainer=false containers=r(1-5)  objects=r(1-195000)
w68-s2-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w71-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w72-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
