Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,28520,0,16.82,16.82,59.41,0,100%
dispose,delete,0,0,N/A,N/A,0,0,N/A
