================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M42A8287A66, driver: driver1 ----------------------------------
2019-07-25 15:01:34,072 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects66
2019-07-25 15:01:34,086 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects67
2019-07-25 15:01:34,099 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects68
2019-07-25 15:01:34,112 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects69
2019-07-25 15:01:34,124 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects70
2019-07-25 15:01:34,136 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects71
2019-07-25 15:01:34,149 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects72
2019-07-25 15:01:34,161 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects73
2019-07-25 15:01:34,173 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects74
2019-07-25 15:01:34,186 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects75
2019-07-25 15:01:34,197 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects76
2019-07-25 15:01:34,209 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects77
2019-07-25 15:01:34,221 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects78
2019-07-25 15:01:34,233 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects79
2019-07-25 15:01:34,247 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects80
2019-07-25 15:01:34,259 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects81
2019-07-25 15:01:34,271 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects82
2019-07-25 15:01:34,283 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects83
2019-07-25 15:01:34,296 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects84
2019-07-25 15:01:34,308 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects85
2019-07-25 15:01:34,320 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects86
2019-07-25 15:01:34,332 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects87
2019-07-25 15:01:34,344 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects88
2019-07-25 15:01:34,355 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects89
2019-07-25 15:01:34,368 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects90
2019-07-25 15:01:34,379 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects91
2019-07-25 15:01:34,391 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects92
2019-07-25 15:01:34,403 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects93
2019-07-25 15:01:34,415 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects94
2019-07-25 15:01:34,427 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects95
2019-07-25 15:01:34,438 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects96
2019-07-25 15:01:34,451 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects97
2019-07-25 15:01:34,465 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects98
2019-07-25 15:01:34,477 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects99
2019-07-25 15:01:34,489 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects100
2019-07-25 15:01:34,503 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects101
2019-07-25 15:01:34,515 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects102
2019-07-25 15:01:34,527 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects103
2019-07-25 15:01:34,539 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects104
2019-07-25 15:01:34,551 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects105
2019-07-25 15:01:34,563 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects106
2019-07-25 15:01:34,575 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects107
2019-07-25 15:01:34,587 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects108
2019-07-25 15:01:34,599 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects109
2019-07-25 15:01:34,611 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects110
2019-07-25 15:01:34,623 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects111
2019-07-25 15:01:34,635 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects112
2019-07-25 15:01:34,648 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects113
2019-07-25 15:01:34,660 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects114
2019-07-25 15:01:34,672 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects115
2019-07-25 15:01:34,684 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects116
2019-07-25 15:01:34,698 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects117
2019-07-25 15:01:34,710 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects118
2019-07-25 15:01:34,722 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects119
2019-07-25 15:01:34,734 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects120
2019-07-25 15:01:34,746 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects121
2019-07-25 15:01:34,758 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects122
2019-07-25 15:01:34,770 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects123
2019-07-25 15:01:34,782 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects124
2019-07-25 15:01:34,793 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects125
2019-07-25 15:01:34,806 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects126
2019-07-25 15:01:34,818 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects127
2019-07-25 15:01:34,829 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects128
2019-07-25 15:01:34,843 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects129
2019-07-25 15:01:34,856 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects130
2019-07-25 15:01:34,869 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects131
2019-07-25 15:01:34,881 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects132
2019-07-25 15:01:34,893 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects133
2019-07-25 15:01:34,905 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects134
2019-07-25 15:01:34,917 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects135
2019-07-25 15:01:34,929 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects136
2019-07-25 15:01:34,940 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects137
2019-07-25 15:01:34,953 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects138
2019-07-25 15:01:34,965 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects139
2019-07-25 15:01:34,977 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects140
2019-07-25 15:01:34,989 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects141
2019-07-25 15:01:35,001 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects142
2019-07-25 15:01:35,015 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects143
2019-07-25 15:01:35,027 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects144
2019-07-25 15:01:35,040 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects145
2019-07-25 15:01:35,052 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects146
2019-07-25 15:01:35,066 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects147
2019-07-25 15:01:35,078 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects148
2019-07-25 15:01:35,090 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects149
2019-07-25 15:01:35,102 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects150
2019-07-25 15:01:35,114 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects151
2019-07-25 15:01:35,126 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects152
2019-07-25 15:01:35,138 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects153
2019-07-25 15:01:35,150 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects154
2019-07-25 15:01:35,161 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects155
2019-07-25 15:01:35,173 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects156
2019-07-25 15:01:35,186 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects157
2019-07-25 15:01:35,198 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects158
2019-07-25 15:01:35,210 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects159
2019-07-25 15:01:35,222 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects160
2019-07-25 15:01:35,234 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects161
2019-07-25 15:01:35,246 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects162
2019-07-25 15:01:35,258 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects163
2019-07-25 15:01:35,270 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects164
2019-07-25 15:01:35,282 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects165
2019-07-25 15:01:35,298 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects166
2019-07-25 15:01:35,314 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects167
2019-07-25 15:01:35,326 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects168
2019-07-25 15:01:35,339 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects169
2019-07-25 15:01:35,364 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects170
2019-07-25 15:01:35,377 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects171
2019-07-25 15:01:35,391 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects172
2019-07-25 15:01:35,404 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects173
2019-07-25 15:01:35,416 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects174
2019-07-25 15:01:35,430 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects175
2019-07-25 15:01:35,444 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects176
2019-07-25 15:01:35,458 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects177
2019-07-25 15:01:35,473 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects178
2019-07-25 15:01:35,486 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects179
2019-07-25 15:01:35,499 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects180
2019-07-25 15:01:35,512 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects181
2019-07-25 15:01:35,527 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects182
2019-07-25 15:01:35,540 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects183
2019-07-25 15:01:35,554 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects184
2019-07-25 15:01:35,572 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects185
2019-07-25 15:01:35,585 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects186
2019-07-25 15:01:35,599 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects187
2019-07-25 15:01:35,613 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects188
2019-07-25 15:01:35,627 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects189
2019-07-25 15:01:35,640 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects190
2019-07-25 15:01:35,653 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects191
2019-07-25 15:01:35,667 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects192
2019-07-25 15:01:35,680 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects193
2019-07-25 15:01:35,695 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects194
2019-07-25 15:01:35,709 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects195
2019-07-25 15:01:35,723 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects196
2019-07-25 15:01:35,736 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects197
2019-07-25 15:01:35,749 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects198
2019-07-25 15:01:35,764 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects199
2019-07-25 15:01:35,780 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects200
2019-07-25 15:01:35,793 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects201
2019-07-25 15:01:35,806 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects202
2019-07-25 15:01:35,819 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects203
2019-07-25 15:01:35,838 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects204
2019-07-25 15:01:35,850 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects205
2019-07-25 15:01:35,863 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects206
2019-07-25 15:01:35,876 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects207
2019-07-25 15:01:35,890 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects208
2019-07-25 15:01:35,903 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects209
2019-07-25 15:01:35,917 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects210
2019-07-25 15:01:35,930 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects211
2019-07-25 15:01:35,944 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects212
2019-07-25 15:01:35,957 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects213
2019-07-25 15:01:35,971 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects214
2019-07-25 15:01:35,983 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects215
2019-07-25 15:01:35,997 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects216
2019-07-25 15:01:36,011 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects217
2019-07-25 15:01:36,024 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects218
2019-07-25 15:01:36,039 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects219
2019-07-25 15:01:36,052 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects220
2019-07-25 15:01:36,067 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects221
2019-07-25 15:01:36,080 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects222
2019-07-25 15:01:36,095 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects223
2019-07-25 15:01:36,113 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects224
2019-07-25 15:01:36,127 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects225
2019-07-25 15:01:36,143 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects226
2019-07-25 15:01:36,157 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects227
2019-07-25 15:01:36,171 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects228
2019-07-25 15:01:36,184 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects229
2019-07-25 15:01:36,197 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects230
2019-07-25 15:01:36,210 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects231
2019-07-25 15:01:36,223 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects232
2019-07-25 15:01:36,237 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects233
2019-07-25 15:01:36,251 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects234
2019-07-25 15:01:36,265 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects235
2019-07-25 15:01:36,279 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects236
2019-07-25 15:01:36,295 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects237
2019-07-25 15:01:36,309 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects238
2019-07-25 15:01:36,323 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects239
2019-07-25 15:01:36,338 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects240
2019-07-25 15:01:36,350 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects241
2019-07-25 15:01:36,363 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects242
2019-07-25 15:01:36,376 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects243
2019-07-25 15:01:36,388 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects244
2019-07-25 15:01:36,401 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects245
2019-07-25 15:01:36,414 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects246
2019-07-25 15:01:36,427 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects247
2019-07-25 15:01:36,439 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects248
2019-07-25 15:01:36,452 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects249
2019-07-25 15:01:36,465 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects250
2019-07-25 15:01:36,479 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects251
2019-07-25 15:01:36,493 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects252
2019-07-25 15:01:36,506 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects253
2019-07-25 15:01:36,519 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects254
2019-07-25 15:01:36,531 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects255
2019-07-25 15:01:36,543 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects256
2019-07-25 15:01:36,555 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects257
2019-07-25 15:01:36,569 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects258
2019-07-25 15:01:36,581 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects259
2019-07-25 15:01:36,593 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects260
2019-07-25 15:01:36,606 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects261
2019-07-25 15:01:36,618 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects262
2019-07-25 15:01:36,630 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects263
2019-07-25 15:01:36,645 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects264
2019-07-25 15:01:36,660 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects265
2019-07-25 15:01:36,672 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects266
2019-07-25 15:01:36,684 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects267
2019-07-25 15:01:36,696 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects268
2019-07-25 15:01:36,708 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects269
2019-07-25 15:01:36,720 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects270
2019-07-25 15:01:36,733 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects271
2019-07-25 15:01:36,746 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects272
2019-07-25 15:01:36,760 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects273
2019-07-25 15:01:36,774 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects274
2019-07-25 15:01:36,786 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects275
2019-07-25 15:01:36,798 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects276
2019-07-25 15:01:36,811 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects277
2019-07-25 15:01:36,824 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects278
2019-07-25 15:01:36,838 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects279
2019-07-25 15:01:36,850 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects280
2019-07-25 15:01:36,862 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects281
2019-07-25 15:01:36,877 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects282
2019-07-25 15:01:36,889 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects283
2019-07-25 15:01:36,900 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects284
2019-07-25 15:01:36,912 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects285
2019-07-25 15:01:36,926 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects286
2019-07-25 15:01:36,943 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects287
2019-07-25 15:01:36,955 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects288
2019-07-25 15:01:36,968 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects289
