================================================== stage: s1-MAIN ==================================================
---------------------------------- mission: MD17F4F33BF, driver: driver1 ----------------------------------
2020-03-26 13:47:41,765 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects5485
2020-03-26 13:47:41,765 [INFO] [NoneStorage] - performing GET at /cf4/myobjects2249
2020-03-26 13:47:41,771 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5099
2020-03-26 13:47:41,774 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3829
2020-03-26 13:47:41,778 [INFO] [NoneStorage] - performing GET at /cf4/myobjects76
2020-03-26 13:47:41,781 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3048
2020-03-26 13:47:41,784 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects4429
2020-03-26 13:47:41,799 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects4799
2020-03-26 13:47:41,817 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2358
2020-03-26 13:47:41,819 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3843
2020-03-26 13:47:41,827 [INFO] [NoneStorage] - performing GET at /cf4/myobjects724
2020-03-26 13:47:41,829 [INFO] [NoneStorage] - performing GET at /cf5/myobjects37
2020-03-26 13:47:41,832 [WARN] [AbstractOperator] - listerrr: cf5/myobjects1910
2020-03-26 13:47:41,832 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects1910
2020-03-26 13:47:41,832 [INFO] [NoneStorage] - performing GET at /cf4/myobjects2640
2020-03-26 13:47:41,844 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1694
2020-03-26 13:47:41,862 [WARN] [AbstractOperator] - listerrr: cf4/myobjects2343
2020-03-26 13:47:41,862 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects2343
2020-03-26 13:47:41,862 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects2822
2020-03-26 13:47:41,879 [INFO] [NoneStorage] - performing GET at /cf3/myobjects338
2020-03-26 13:47:41,881 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4422
2020-03-26 13:47:41,902 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects5509
2020-03-26 13:47:41,938 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5689
2020-03-26 13:47:41,948 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1042
2020-03-26 13:47:41,950 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects5341
2020-03-26 13:47:41,969 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1546
2020-03-26 13:47:41,972 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2794
2020-03-26 13:47:41,995 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects75
2020-03-26 13:47:42,012 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4319
2020-03-26 13:47:42,015 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1657
2020-03-26 13:47:42,041 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4634
2020-03-26 13:47:42,059 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1350
2020-03-26 13:47:42,069 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5626
2020-03-26 13:47:42,072 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects5170
2020-03-26 13:47:42,090 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4945
2020-03-26 13:47:42,093 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects225
2020-03-26 13:47:42,117 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects3990
2020-03-26 13:47:42,138 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3744
2020-03-26 13:47:42,149 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2023
2020-03-26 13:47:42,163 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4305
2020-03-26 13:47:42,188 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects3725
2020-03-26 13:47:42,209 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2014
2020-03-26 13:47:42,212 [INFO] [NoneStorage] - performing GET at /cf5/myobjects1854
2020-03-26 13:47:42,218 [WARN] [AbstractOperator] - listerrr: cf5/myobjects1327
2020-03-26 13:47:42,218 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects1327
2020-03-26 13:47:42,218 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4682
2020-03-26 13:47:42,234 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1966
2020-03-26 13:47:42,271 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3882
2020-03-26 13:47:42,274 [INFO] [NoneStorage] - performing GET at /cf4/myobjects922
2020-03-26 13:47:42,285 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3524
2020-03-26 13:47:42,288 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2241
2020-03-26 13:47:42,293 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1280
2020-03-26 13:47:42,296 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2545
2020-03-26 13:47:42,302 [INFO] [NoneStorage] - performing GET at /cf5/myobjects961
2020-03-26 13:47:42,305 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3973
2020-03-26 13:47:42,308 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4414
2020-03-26 13:47:42,313 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4268
2020-03-26 13:47:42,316 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3728
2020-03-26 13:47:42,322 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects1946
2020-03-26 13:47:42,331 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2975
2020-03-26 13:47:42,338 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3140
2020-03-26 13:47:42,341 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5615
2020-03-26 13:47:42,348 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects4847
2020-03-26 13:47:42,366 [INFO] [NoneStorage] - performing GET at /cf3/myobjects5308
2020-03-26 13:47:42,379 [WARN] [AbstractOperator] - listerrr: cf3/myobjects1928
2020-03-26 13:47:42,379 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects1928
2020-03-26 13:47:42,379 [INFO] [NoneStorage] - performing GET at /cf4/myobjects238
2020-03-26 13:47:42,382 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2963
2020-03-26 13:47:42,390 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3768
2020-03-26 13:47:42,407 [INFO] [NoneStorage] - performing GET at /cf4/myobjects17
2020-03-26 13:47:42,417 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4603
2020-03-26 13:47:42,420 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2672
2020-03-26 13:47:42,423 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3723
2020-03-26 13:47:42,428 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2536
2020-03-26 13:47:42,431 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects724
2020-03-26 13:47:42,460 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4128
2020-03-26 13:47:42,463 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5569
2020-03-26 13:47:42,468 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2164
2020-03-26 13:47:42,471 [WARN] [AbstractOperator] - listerrr: cf5/myobjects50
2020-03-26 13:47:42,471 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects50
2020-03-26 13:47:42,471 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects3978
2020-03-26 13:47:42,512 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects523
2020-03-26 13:47:42,527 [INFO] [NoneStorage] - performing GET at /cf3/myobjects5456
2020-03-26 13:47:42,530 [WARN] [AbstractOperator] - listerrr: cf5/myobjects731
2020-03-26 13:47:42,530 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects731
2020-03-26 13:47:42,530 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4568
2020-03-26 13:47:42,535 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5671
2020-03-26 13:47:42,538 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3184
2020-03-26 13:47:42,556 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects1497
2020-03-26 13:47:42,575 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5349
2020-03-26 13:47:42,578 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2447
2020-03-26 13:47:42,593 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4378
2020-03-26 13:47:42,599 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4294
2020-03-26 13:47:42,610 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3169
2020-03-26 13:47:42,613 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3677
2020-03-26 13:47:42,618 [INFO] [NoneStorage] - performing GET at /cf5/myobjects1396
2020-03-26 13:47:42,620 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2718
2020-03-26 13:47:42,634 [INFO] [NoneStorage] - performing GET at /cf4/myobjects225
2020-03-26 13:47:42,645 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects5297
2020-03-26 13:47:42,661 [INFO] [NoneStorage] - performing GET at /cf5/myobjects1375
2020-03-26 13:47:42,671 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects1746
2020-03-26 13:47:42,683 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1485
2020-03-26 13:47:42,693 [WARN] [AbstractOperator] - listerrr: cf3/myobjects4182
2020-03-26 13:47:42,693 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects4182
2020-03-26 13:47:42,693 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1106
2020-03-26 13:47:42,696 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5378
2020-03-26 13:47:42,706 [WARN] [AbstractOperator] - listerrr: cf5/myobjects2601
2020-03-26 13:47:42,706 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects2601
2020-03-26 13:47:42,706 [INFO] [NoneStorage] - performing GET at /cf4/myobjects560
2020-03-26 13:47:42,709 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1604
2020-03-26 13:47:42,714 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4152
2020-03-26 13:47:42,717 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3780
2020-03-26 13:47:42,720 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects404
2020-03-26 13:47:42,744 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4203
2020-03-26 13:47:42,750 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects831
2020-03-26 13:47:42,771 [WARN] [AbstractOperator] - listerrr: cf5/myobjects5429
2020-03-26 13:47:42,771 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects5429
2020-03-26 13:47:42,771 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects4426
2020-03-26 13:47:42,783 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1385
2020-03-26 13:47:42,795 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects1966
2020-03-26 13:47:42,804 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3511
2020-03-26 13:47:42,814 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4381
2020-03-26 13:47:42,817 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1565
2020-03-26 13:47:42,819 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2966
2020-03-26 13:47:42,833 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4262
2020-03-26 13:47:42,835 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3999
2020-03-26 13:47:42,843 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3877
2020-03-26 13:47:42,845 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2215
