Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,14855,2436,4040,3315,950720000,0,258560000,0,7.7,0.12,30.26,18.59,7.18,0.12,29.48,18.59,49.52,8.12,13.47,11.05,3169077.23,0,861869.54,0,100%
100%
100%
100%
