Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
13:50:08,239,46,72,63,15296000,0,4608000,0,7.79,0.17,27.99,17.67,7.16,0.17,27.01,17.67,47.51,9.15,14.31,12.52,3040954.27,0,916103.38,0,100%,100%,100%,100%,28,28,28
13:50:13,0,0,N/A,N/A,0,0,N/A,29,29,29
13:50:18,216,28,69,56,13824000,0,4416000,0,8.31,0.11,30.2,19.86,7.56,0.11,29.03,19.86,85.92,11.14,27.45,22.28,5498806.68,0,1756563.25,0,100%,100%,100%,100%,30,30,30
13:50:23,199,29,68,47,12736000,0,4352000,0,9.12,0.14,31.37,21.51,8.4,0.14,30.12,21.51,39.8,5.8,13.6,9.4,2547200,0,870400,0,100%,100%,100%,100%,31,31,31
13:50:28,314,55,81,56,20096000,0,5184000,0,6.01,0.04,27.07,15.96,5.68,0.04,26.67,15.96,62.74,10.99,16.18,11.19,4015184.82,0,1035764.24,0,100%,100%,100%,100%,32,32,32
13:50:33,249,30,74,44,15936000,0,4736000,0,7.81,0.2,30.68,17.86,7.2,0.2,29.7,17.86,49.46,5.96,14.7,8.74,3165673.42,0,940802.54,0,100%,100%,100%,100%,33,33,33
13:50:38,223,36,69,57,14272000,0,4416000,0,8.6,0.19,29.57,17.65,7.92,0.19,28.39,17.65,44.56,7.19,13.79,11.39,2851548.45,0,882317.68,0,100%,100%,100%,100%,34,34,34
13:50:43,227,42,72,44,14528000,0,4608000,0,8.35,0.1,30.81,19.23,7.57,0.1,29.58,19.23,45.38,8.4,14.39,8.8,2904438.22,0,921231.51,0,100%,100%,100%,100%,35,35,35
13:50:48,354,63,82,77,22656000,0,5248000,0,5.8,0.05,22.38,14.14,5.49,0.05,21.88,14.14,70.62,12.57,16.36,15.36,4519449.43,0,1046878.12,0,100%,100%,100%,100%,36,36,36
13:50:53,315,47,84,76,20160000,0,5376000,0,5.88,0.09,24.56,13.95,5.52,0.09,23.9,13.95,62.96,9.39,16.79,15.19,4029582.25,0,1074555.27,0,100%,100%,100%,100%,37,37,37
13:50:58,310,56,76,66,19840000,0,4864000,0,6.44,0.12,24.93,16.33,5.98,0.12,24.33,16.33,61.98,11.2,15.19,13.19,3966413.43,0,972411.04,0,100%,100%,100%,100%,38,38,38
13:51:03,265,45,75,44,16960000,0,4800000,0,7.91,0.11,28.37,17.07,7.22,0.11,27.4,17.07,52.86,8.98,14.96,8.78,3383203.67,0,957510.47,0,100%,100%,100%,100%,39,39,39
13:51:08,328,56,86,87,20992000,0,5504000,0,5.66,0.11,22.15,13.87,5.3,0.11,21.66,13.87,65.59,11.2,17.2,17.4,4197560.49,0,1100579.88,0,100%,100%,100%,100%,40,40,40
13:51:13,276,52,101,67,17664000,0,6464000,0,6.38,0.08,22.93,13.48,6,0.08,22.39,13.48,55.07,10.38,20.15,13.37,3524341.58,0,1289704.71,0,100%,100%,100%,100%,41,41,41
13:51:18,235,36,66,65,15040000,0,4224000,0,8.28,0.14,28.65,17.43,7.58,0.14,27.71,17.43,46.92,7.19,13.18,12.98,3003194.89,0,843450.48,0,100%,100%,100%,100%,42,42,42
13:51:23,318,57,86,72,20352000,0,5504000,0,6.01,0.09,24.24,13.42,5.61,0.09,23.64,13.42,63.59,11.4,17.2,14.4,4069586.08,0,1100579.88,0,100%,100%,100%,100%,43,43,43
