Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,8802,187824084000,502.69,408.98,1.83,39116391.96,100%
delete,delete,5773,0,65.12,65.12,1.2,0,100%
write,write,8851,185859280000,501.09,409.22,1.84,38707071.35,100%
delete,delete,5867,0,62.3,62.3,1.22,0,100%
write,write,8907,181804740000,497.04,406.35,1.85,37862506.87,100%
delete,delete,5839,0,63.97,63.97,1.22,0,100%
write,write,8828,183762704000,501.3,409.5,1.84,38267975.59,100%
delete,delete,5927,0,63.37,63.37,1.23,0,100%
write,write,8748,187297692000,505.27,410.18,1.82,39005863.45,100%
delete,delete,5996,0,63.5,63.5,1.25,0,100%
write,write,8864,188221544000,505.05,411.19,1.85,39197371.37,100%
delete,delete,5856,0,55.37,55.37,1.22,0,100%
write,write,8913,187768236000,503.31,410.2,1.86,39106821.55,100%
delete,delete,5935,0,52.99,52.99,1.24,0,100%
write,write,8905,187759804000,501.17,408.4,1.85,39102394.19,100%
delete,delete,5993,0,56.38,56.38,1.25,0,100%
write,write,8931,186124128000,499.44,409.37,1.86,38762470.8,100%
delete,delete,5933,0,57.36,57.36,1.24,0,100%
write,write,8907,188483844000,501.92,409.32,1.85,39251791.32,100%
delete,delete,5871,0,56.28,56.28,1.22,0,100%
write,write,9015,186261228000,498.07,406.29,1.88,38788761.54,100%
delete,delete,5893,0,52.77,52.77,1.23,0,100%
write,write,8951,184882700000,498.56,408.15,1.86,38501387.45,100%
delete,delete,5894,0,57.42,57.42,1.23,0,100%
write,write,8995,182658688000,497.12,407.23,1.87,38041529.84,100%
delete,delete,6009,0,54.75,54.75,1.25,0,100%
write,write,8945,184820564000,497.96,407.94,1.86,38489465.72,100%
delete,delete,5920,0,58.56,58.56,1.23,0,100%
write,write,8868,186256740000,501.93,408.92,1.85,38790500.76,100%
delete,delete,6005,0,58.22,58.22,1.25,0,100%
write,write,8884,188484352000,500.66,407.18,1.85,39253679.17,100%
delete,delete,5949,0,59.32,59.32,1.24,0,100%
write,write,8942,186456452000,499.7,407.8,1.86,38829271.24,100%
delete,delete,5913,0,56.26,56.26,1.23,0,100%
write,write,8952,187894056000,499.89,406.88,1.86,39132268.34,100%
delete,delete,5930,0,54.9,54.9,1.24,0,100%
write,write,8881,193202644000,505.09,409.13,1.85,40234381.64,100%
delete,delete,5866,0,53.75,53.75,1.22,0,100%
write,write,8901,185598732000,502.12,409.65,1.85,38651449.22,100%
delete,delete,5891,0,56.29,56.29,1.23,0,100%
write,write,8868,184485696000,501.73,408.1,1.85,38419728.4,100%
delete,delete,5911,0,59.49,59.49,1.23,0,100%
write,write,8813,184747964000,499.98,407.55,1.84,38474170.27,100%
delete,delete,5983,0,65.96,65.96,1.25,0,100%
write,write,8778,186317352000,502.91,408.33,1.83,38805782.96,100%
delete,delete,5999,0,64.31,64.31,1.25,0,100%
write,write,8843,184422044000,498.9,406.3,1.84,38408568.34,100%
delete,delete,5904,0,65.87,65.87,1.23,0,100%
write,write,8713,186772216000,505.03,411.24,1.81,38895109.61,100%
delete,delete,5944,0,67.41,67.41,1.24,0,100%
