Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,9498,194731188000,480.2,368.82,1.98,40554473.93,100%
delete,delete,6252,0,38.37,38.37,1.3,0,100%
write,write,9324,191907516000,488.24,375.87,1.94,39965695.41,100%
delete,delete,6339,0,39.21,39.21,1.32,0,100%
write,write,9350,198521672000,486.82,369.39,1.95,41342265.34,100%
delete,delete,6275,0,39.72,39.72,1.31,0,100%
write,write,9441,195115992000,482.36,370,1.97,40633504.17,100%
delete,delete,6217,0,39.7,39.7,1.29,0,100%
write,write,9245,196877792000,492.2,375.46,1.93,41000131.2,100%
delete,delete,6014,0,41.66,41.66,1.25,0,100%
write,write,9227,195506288000,487.44,372.51,1.92,40717472.52,100%
delete,delete,6342,0,47.78,47.78,1.32,0,100%
write,write,9306,192037248000,484.71,372.35,1.94,39991105.37,100%
delete,delete,6304,0,46.05,46.05,1.31,0,100%
write,write,9226,197402212000,490.76,373.37,1.92,41110309.97,100%
delete,delete,6065,0,45.01,45.01,1.26,0,100%
write,write,9217,191640940000,487.39,373.69,1.92,39912731.42,100%
delete,delete,6205,0,49.69,49.69,1.29,0,100%
write,write,9199,196095304000,490.03,373.41,1.92,40839966.39,100%
delete,delete,6259,0,46.79,46.79,1.3,0,100%
write,write,9398,194726708000,482.12,369.25,1.96,40554942.95,100%
delete,delete,6273,0,42.98,42.98,1.31,0,100%
write,write,9466,190138960000,476.85,368.58,1.97,39596535.46,100%
delete,delete,6248,0,45.94,45.94,1.3,0,100%
write,write,9253,195048088000,487.47,370.97,1.93,40620394.99,100%
delete,delete,6300,0,46.07,46.07,1.31,0,100%
write,write,9355,196425928000,486.39,372.45,1.95,40912002.28,100%
delete,delete,6364,0,39.29,39.29,1.33,0,100%
write,write,9296,198980180000,492.08,374.73,1.94,41443204.45,100%
delete,delete,6194,0,36.48,36.48,1.29,0,100%
write,write,9307,197539300000,490.64,374.5,1.94,41137925.62,100%
delete,delete,5997,0,39.11,39.11,1.25,0,100%
write,write,9247,196746076000,492.42,373.78,1.93,40972769.38,100%
delete,delete,6171,0,40.1,40.1,1.29,0,100%
write,write,9402,196103016000,484.73,369.82,1.96,40848233.75,100%
delete,delete,6349,0,38.18,38.18,1.32,0,100%
write,write,9406,197671720000,484.6,370.72,1.96,41170758.12,100%
delete,delete,6302,0,38.42,38.42,1.31,0,100%
write,write,9274,198059404000,492.7,375.76,1.93,41245233.28,100%
delete,delete,6316,0,36.68,36.68,1.32,0,100%
write,write,9450,191910840000,483,370.17,1.97,39966038.08,100%
delete,delete,6238,0,37.91,37.91,1.3,0,100%
write,write,9261,199760724000,495.6,375.92,1.93,41600350.69,100%
delete,delete,6201,0,34.05,34.05,1.29,0,100%
write,write,9452,198720656000,486.12,370.98,1.97,41383798.69,100%
delete,delete,6357,0,32.42,32.42,1.32,0,100%
write,write,9473,195513332000,483.88,370.57,1.97,40718574.9,100%
delete,delete,6329,0,34.25,34.25,1.32,0,100%
write,write,9352,197868220000,490.43,374.24,1.95,41206492.47,100%
delete,delete,6021,0,35.61,35.61,1.25,0,100%
write,write,9413,194466680000,487.01,373.76,1.96,40502221.96,100%
delete,delete,6336,0,34.12,34.12,1.32,0,100%
write,write,9314,198128456000,491.52,375.14,1.94,41260163.05,100%
delete,delete,6182,0,36.07,36.07,1.29,0,100%
write,write,9348,201074352000,491.47,375.38,1.95,41890734.36,100%
delete,delete,6244,0,32.79,32.79,1.3,0,100%
write,write,9489,198135936000,483.62,369.21,1.98,41267616.21,100%
delete,delete,6340,0,33.31,33.31,1.32,0,100%
write,write,9089,201982364000,500.83,379.23,1.89,42071069.66,100%
delete,delete,6177,0,40.14,40.14,1.29,0,100%
write,write,9350,198127460000,488.63,372.66,1.95,41262249.92,100%
delete,delete,6315,0,36.74,36.74,1.32,0,100%
write,write,9405,197804700000,484.48,369,1.96,41192389.29,100%
delete,delete,6235,0,39.22,39.22,1.3,0,100%
write,write,9308,194656016000,490.12,375.34,1.94,40537890.04,100%
delete,delete,6124,0,38.99,38.99,1.28,0,100%
write,write,9482,194731604000,479.5,367.22,1.97,40558893.74,100%
delete,delete,6371,0,39.8,39.8,1.33,0,100%
write,write,9235,195896812000,492.05,374.06,1.92,40802289.8,100%
delete,delete,6250,0,40.97,40.97,1.3,0,100%
write,write,9293,197471972000,489.69,374.45,1.94,41123125.12,100%
delete,delete,6349,0,39.42,39.42,1.32,0,100%
write,write,9343,199305328000,487.45,371.08,1.95,41505756.09,100%
delete,delete,6154,0,40.08,40.08,1.28,0,100%
write,write,9379,195967180000,484.78,370.59,1.95,40816691.32,100%
delete,delete,6407,0,39.55,39.55,1.33,0,100%
write,write,9406,193415860000,482.84,370.43,1.96,40281669.49,100%
delete,delete,6251,0,41.44,41.44,1.3,0,100%
write,write,9327,194197848000,485.09,369.38,1.94,40442356.82,100%
delete,delete,6405,0,43.15,43.15,1.33,0,100%
write,write,9279,194460564000,491.6,376.68,1.93,40500627.63,100%
delete,delete,6166,0,38.74,38.74,1.28,0,100%
write,write,9243,198131952000,491.69,374.79,1.92,41261604.28,100%
delete,delete,6083,0,42.1,42.1,1.27,0,100%
write,write,9353,195114620000,484.76,370.52,1.95,40640911.85,100%
delete,delete,6323,0,42.06,42.06,1.32,0,100%
write,write,9255,196227492000,491.59,374.5,1.93,40871710.18,100%
delete,delete,6080,0,41.18,41.18,1.27,0,100%
write,write,9364,192696520000,485.05,372.62,1.95,40133578.29,100%
delete,delete,6288,0,41.1,41.1,1.31,0,100%
write,write,9274,196166956000,486.79,371.51,1.93,40853408.61,100%
delete,delete,6228,0,45.97,45.97,1.3,0,100%
write,write,9297,196486068000,485.9,370.53,1.94,40923752.71,100%
delete,delete,6111,0,46.3,46.3,1.27,0,100%
write,write,9380,195902012000,481.18,367.73,1.95,40798563.17,100%
delete,delete,6276,0,45.77,45.77,1.31,0,100%
write,write,9123,196026768000,495.86,376.8,1.9,40829187.55,100%
delete,delete,6000,0,46.09,46.09,1.25,0,100%
write,write,9268,193999996000,485.93,370.09,1.93,40401540.51,100%
delete,delete,6126,0,48.51,48.51,1.28,0,100%
write,write,9210,196354236000,489.35,374.03,1.92,40890750.64,100%
delete,delete,6165,0,47.69,47.69,1.28,0,100%
write,write,9288,193606944000,485.41,370.37,1.93,40318232.73,100%
delete,delete,6222,0,47.01,47.01,1.3,0,100%
write,write,9317,194853068000,483.32,366.84,1.94,40581673.58,100%
delete,delete,6350,0,46.85,46.85,1.32,0,100%
write,write,9487,196169428000,482.32,370.87,1.98,40851651.87,100%
delete,delete,6211,0,36.26,36.26,1.29,0,100%
write,write,9442,196820728000,485.52,372.35,1.97,40987590.27,100%
delete,delete,6251,0,34.67,34.67,1.3,0,100%
write,write,9411,198326400000,485.7,368.4,1.96,41307698.89,100%
delete,delete,6182,0,37.1,37.1,1.29,0,100%
write,write,9321,198653700000,491.55,373.04,1.94,41372077.9,100%
delete,delete,6216,0,35.23,35.23,1.29,0,100%
write,write,9348,195182232000,488.61,373.03,1.95,40647138.02,100%
delete,delete,6384,0,36.56,36.56,1.33,0,100%
write,write,9435,196429428000,485.38,370.18,1.96,40907320.9,100%
delete,delete,6355,0,34.83,34.83,1.32,0,100%
write,write,9306,200876988000,492.09,374.51,1.94,41835549.34,100%
delete,delete,6116,0,36.17,36.17,1.27,0,100%
write,write,9320,199038008000,491.21,373.56,1.94,41455386.9,100%
delete,delete,6156,0,36.1,36.1,1.28,0,100%
write,write,9570,195708696000,478.13,365.83,1.99,40761316.75,100%
delete,delete,6388,0,35.18,35.18,1.33,0,100%
write,write,9600,196041216000,477.28,364.57,2,40827409.26,100%
delete,delete,6423,0,34.06,34.06,1.34,0,100%
write,write,9422,195182228000,485.44,371.06,1.96,40647018.68,100%
delete,delete,6245,0,36.38,36.38,1.3,0,100%
write,write,9425,198322196000,487.27,373.47,1.96,41309352.84,100%
delete,delete,6141,0,33.79,33.79,1.28,0,100%
write,write,9445,197213152000,484.95,370.59,1.97,41070090.22,100%
delete,delete,6202,0,35.57,35.57,1.29,0,100%
write,write,9467,197476928000,484.02,369.11,1.97,41129159.19,100%
delete,delete,6177,0,35.35,35.35,1.29,0,100%
write,write,9316,194979628000,489.67,373.52,1.94,40605528.76,100%
delete,delete,6095,0,39.23,39.23,1.27,0,100%
write,write,9408,196097880000,486.64,371.05,1.96,40839150.53,100%
delete,delete,6270,0,35.47,35.47,1.31,0,100%
write,write,9306,199893828000,490.55,371.57,1.94,41628763.26,100%
delete,delete,6183,0,38.13,38.13,1.29,0,100%
write,write,9352,196557760000,487.53,371.59,1.95,40941583.84,100%
