Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
delete,delete,5740,0,50.78,50.78,1.2,0,100%
write,write,8523,179368980000,539.07,397.45,1.78,37359820.21,100%
delete,delete,5395,0,38.14,38.14,1.12,0,100%
write,write,8512,181138720000,540.23,398.03,1.77,37727015.6,100%
delete,delete,5789,0,34.88,34.88,1.21,0,100%
write,write,8468,179233196000,534.98,397.39,1.76,37332502.67,100%
delete,delete,5610,0,48.1,48.1,1.17,0,100%
write,write,8556,177730572000,528.82,393.34,1.78,37014093.34,99.99%
delete,delete,5467,0,39.55,39.55,1.14,0,100%
write,write,8470,177403288000,534.34,397.61,1.76,36950088.73,99.99%
delete,delete,5636,0,38.06,38.06,1.17,0,100%
write,write,8292,176347044000,548.28,412.13,1.73,36729938.06,100%
delete,delete,5516,0,46.05,46.05,1.15,0,100%
write,write,8265,173001804000,550.88,413.96,1.72,36028606.83,99.99%
delete,delete,5455,0,34.34,34.34,1.14,0,100%
write,write,8358,177921996000,550.83,412.15,1.74,37056860.98,100%
delete,delete,5496,0,35.78,35.78,1.14,0,100%
write,write,8490,176880432000,536.22,401.95,1.77,36834834.24,100%
delete,delete,5603,0,44.37,44.37,1.17,0,100%
write,write,8469,176941800000,543.06,404.98,1.76,36860026.03,100%
delete,delete,5845,0,34.28,34.28,1.22,0,100%
write,write,8630,174851420000,536.66,401.2,1.8,36416552.83,100%
delete,delete,5762,0,29.36,29.36,1.2,0,100%
write,write,8352,171764184000,537,403.42,1.74,35770105.62,99.98%
delete,delete,5599,0,35,35,1.17,0,100%
write,write,8297,176808728000,548.26,402.71,1.73,36825392.94,99.99%
delete,delete,5458,0,35.05,35.05,1.14,0,100%
write,write,8499,177993672000,534.01,396.34,1.77,37081798.69,99.99%
delete,delete,5658,0,35.44,35.44,1.18,0,100%
write,write,8343,178765932000,552.96,414.16,1.74,37231244.47,100%
delete,delete,5400,0,34.68,34.68,1.12,0,100%
write,write,8472,177793668000,536.26,400.09,1.76,37027958.56,100%
delete,delete,5559,0,46.31,46.31,1.16,0,100%
write,write,8430,179040528000,546.48,409.82,1.76,37290026.16,100%
delete,delete,5627,0,34.39,34.39,1.17,0,100%
write,write,8382,174706644000,548.86,407.5,1.75,36395678.27,100%
delete,delete,5557,0,35.77,35.77,1.16,0,100%
write,write,8482,178449328000,533.63,399.51,1.77,37168580.4,99.99%
delete,delete,5625,0,37.97,37.97,1.17,0,100%
write,write,8372,176873000000,542.88,403.93,1.74,36841042.98,99.99%
delete,delete,5547,0,35.17,35.17,1.16,0,100%
write,write,8598,181399992000,534.66,393.81,1.79,37780865.97,100%
delete,delete,5736,0,35.44,35.44,1.19,0,100%
write,write,8521,173208724000,530.77,398.34,1.77,36073554.69,100%
delete,delete,5506,0,50.48,50.48,1.15,0,100%
write,write,8310,173989224000,547.33,405.92,1.73,36260793.78,100%
delete,delete,5509,0,45.22,45.22,1.15,0,100%
write,write,8440,171956092000,543.11,406.59,1.76,35809399.54,100%
delete,delete,5749,0,37.78,37.78,1.2,0,100%
write,write,8292,173466396000,537.08,403.8,1.73,36133051.21,99.99%
delete,delete,5559,0,51.46,51.46,1.16,0,100%
write,write,8409,177329652000,546.38,403.01,1.75,36935574.76,100%
delete,delete,5482,0,37.51,37.51,1.14,0,100%
write,write,8224,175030492000,548.13,404.9,1.71,36451107.8,99.99%
delete,delete,5480,0,42.54,42.54,1.14,0,100%
write,write,8402,175827728000,536.81,402.01,1.75,36615726.08,99.99%
delete,delete,5644,0,39.04,39.04,1.18,0,100%
write,write,8386,174447772000,536.55,403.59,1.75,36331553.77,100%
delete,delete,5726,0,52.59,52.59,1.19,0,100%
write,write,8348,176743460000,535.43,399.5,1.74,36811500.03,99.99%
delete,delete,5607,0,48.28,48.28,1.17,0,100%
write,write,8166,177719172000,549.36,407.9,1.7,37015118.74,99.99%
delete,delete,5376,0,47.17,47.17,1.12,0,100%
write,write,8265,169465236000,540.63,405.01,1.72,35292552.18,99.99%
delete,delete,5584,0,47.37,47.37,1.16,0,100%
write,write,8348,175429520000,542.27,399.09,1.74,36555424.76,100%
delete,delete,5483,0,49.48,49.48,1.14,0,100%
write,write,8314,175167976000,536.37,400.54,1.73,36478417.78,100%
delete,delete,5558,0,61.49,61.49,1.16,0,100%
write,write,8170,174901372000,544.35,407.82,1.7,36430886.73,99.99%
delete,delete,5681,0,51.52,51.52,1.18,0,100%
write,write,8338,170976184000,531.86,396.26,1.74,35612455.85,100%
delete,delete,5717,0,63.95,63.95,1.19,0,100%
write,write,8342,176155988000,542.77,403.48,1.74,36686408,100%
delete,delete,5657,0,48.25,48.25,1.18,0,100%
write,write,8314,175563868000,543.65,403.88,1.73,36564607.92,100%
delete,delete,5601,0,50.12,50.12,1.17,0,100%
write,write,8361,171243684000,542.63,403.92,1.74,35668730.36,100%
delete,delete,5486,0,47.98,47.98,1.14,0,100%
write,write,8260,174904312000,539.86,401.01,1.72,36426051.42,99.99%
delete,delete,5572,0,50.53,50.53,1.16,0,100%
write,write,8275,173791768000,548.07,407.34,1.72,36197486.01,100%
delete,delete,5612,0,47.25,47.25,1.17,0,100%
write,write,8503,176286616000,526.47,392.16,1.77,36713490.37,99.99%
delete,delete,5730,0,46.11,46.11,1.19,0,100%
write,write,8137,172479076000,559.07,419.48,1.69,35923553.73,100%
delete,delete,5311,0,47.32,47.32,1.11,0,100%
write,write,8245,174180700000,550.52,415.17,1.72,36275780.63,100%
delete,delete,5733,0,45.65,45.65,1.19,0,100%
write,write,8259,174380892000,544.12,397.53,1.72,36317337.51,99.99%
delete,delete,5581,0,44.23,44.23,1.16,0,100%
write,write,8478,174255384000,537.69,406.24,1.77,36302637.77,99.99%
delete,delete,5486,0,32.17,32.17,1.14,0,100%
write,write,8461,176155024000,546.31,409.86,1.76,36697128.48,100%
delete,delete,5676,0,31.19,31.19,1.18,0,100%
write,write,8479,179956072000,548.18,408.47,1.77,37475444.36,100%
delete,delete,5601,0,27.34,27.34,1.17,0,100%
write,write,8350,178508392000,552.15,416.79,1.74,37175919.22,100%
delete,delete,5522,0,34.5,34.5,1.15,0,100%
write,write,8504,178518848000,539.81,401.61,1.77,37183339.29,99.99%
delete,delete,5513,0,27.14,27.14,1.15,0,100%
write,write,8417,174710624000,533.28,401.32,1.75,36383606.92,99.98%
delete,delete,5591,0,34.38,34.38,1.16,0,100%
write,write,8547,179496120000,535.06,403.91,1.78,37381458.65,99.99%
delete,delete,5656,0,29.65,29.65,1.18,0,100%
write,write,8433,177794292000,543.01,408.9,1.76,37031751.89,100%
delete,delete,5694,0,38.83,38.83,1.19,0,100%
write,write,8393,175238624000,540.2,409.33,1.75,36499043.57,100%
delete,delete,5542,0,48.08,48.08,1.15,0,100%
write,write,8358,172877052000,538.16,403.91,1.74,36012346.23,99.99%
delete,delete,5522,0,43.77,43.77,1.15,0,100%
write,write,8405,172546880000,534.98,402.04,1.75,35934053.42,100%
delete,delete,5597,0,54.39,54.39,1.17,0,100%
write,write,8305,174514120000,550.41,412.51,1.73,36346878.2,100%
delete,delete,5446,0,42.12,42.12,1.13,0,100%
write,write,8377,173007352000,537.62,399.88,1.74,36038813.61,99.99%
delete,delete,5556,0,42.44,42.44,1.16,0,100%
write,write,8215,176080948000,547.1,399.66,1.71,36673193.58,99.99%
delete,delete,5611,0,43.86,43.86,1.17,0,100%
write,write,8317,173657272000,545.03,402.36,1.73,36166994.76,100%
delete,delete,5811,0,46.07,46.07,1.21,0,100%
write,write,8421,176158644000,540.3,406.13,1.75,36695742.13,100%
delete,delete,5605,0,44.56,44.56,1.17,0,100%
write,write,8365,175171180000,555.52,415,1.74,36489275.03,100%
delete,delete,5661,0,26.99,26.99,1.18,0,100%
write,write,8391,176810784000,545.75,407.58,1.75,36820774.98,99.99%
delete,delete,5575,0,28.95,28.95,1.16,0,100%
write,write,8351,172813112000,541.94,406.74,1.74,35987946.62,99.98%
delete,delete,5580,0,27.75,27.75,1.16,0,100%
write,write,8364,175167876000,544.97,409.09,1.74,36486762.69,99.99%
delete,delete,5398,0,33.68,33.68,1.12,0,100%
write,write,8393,176415200000,545.3,409.75,1.75,36745327.66,100%
delete,delete,5622,0,39.74,39.74,1.17,0,100%
write,write,8530,175301884000,545.09,405.65,1.78,36510394.42,100%
delete,delete,5510,0,27.39,27.39,1.15,0,100%
write,write,8526,178515876000,540.04,403,1.78,37183115.24,100%
delete,delete,5722,0,34.19,34.19,1.19,0,100%
write,write,8509,178320592000,538.46,402.37,1.77,37143251.83,99.99%
delete,delete,5548,0,28.52,28.52,1.16,0,100%
write,write,8391,178641960000,544.49,406.86,1.75,37206199.94,99.99%
delete,delete,5562,0,30.87,30.87,1.16,0,100%
write,write,8221,178899748000,555.06,409.7,1.71,37262365.75,100%
delete,delete,5469,0,43.35,43.35,1.14,0,100%
write,write,8368,174384928000,543.75,406.76,1.74,36316793.95,99.99%
delete,delete,5607,0,33.88,33.88,1.17,0,100%
write,write,8314,176344552000,552.45,408.37,1.73,36729541.42,100%
delete,delete,5530,0,37.47,37.47,1.15,0,100%
write,write,8418,179756112000,542.38,403.06,1.75,37438293.9,99.99%
delete,delete,5628,0,31.06,31.06,1.17,0,100%
write,write,8355,175628364000,545.24,405.75,1.74,36581270.83,99.99%
delete,delete,5530,0,32.67,32.67,1.15,0,100%
write,write,8543,177924176000,541.86,407.92,1.78,37059152.03,100%
delete,delete,5574,0,30.7,30.7,1.16,0,100%
write,write,8446,179430244000,539.02,400.37,1.76,37371654.28,99.99%
delete,delete,5602,0,33.53,33.53,1.17,0,100%
write,write,8225,176212172000,549.89,395.04,1.71,36704078.91,99.99%
delete,delete,5417,0,39.96,39.96,1.13,0,100%
write,write,8246,170972936000,553.48,399.04,1.72,35610755.73,100%
delete,delete,5577,0,42.22,42.22,1.16,0,100%
write,write,8245,172091296000,545.14,394.83,1.72,35845139.5,99.99%
delete,delete,5680,0,43.07,43.07,1.18,0,100%
write,write,8230,173463148000,558.51,404.13,1.71,36126429.8,100%
delete,delete,5323,0,38.19,38.19,1.11,0,100%
write,write,8332,171372652000,541.72,392.11,1.74,35703342.46,99.99%
delete,delete,5428,0,41.39,41.39,1.13,0,100%
write,write,8314,172349800000,551.15,400.01,1.73,35894639.79,100%
delete,delete,5541,0,39.28,39.28,1.15,0,100%
write,write,8132,172212068000,555.93,400.27,1.69,35867135.11,99.99%
delete,delete,5532,0,39.56,39.56,1.15,0,100%
write,write,8137,173786536000,563.96,406.61,1.69,36190765.52,100%
delete,delete,5421,0,38.99,38.99,1.13,0,100%
write,write,8378,172219232000,526.6,394.09,1.74,35864742.96,99.99%
delete,delete,5618,0,58.53,58.53,1.17,0,100%
write,write,8189,175163936000,546.19,410.56,1.71,36489575.1,99.99%
delete,delete,5595,0,46.74,46.74,1.17,0,100%
write,write,8458,174383488000,538.54,405.39,1.76,36320994.69,100%
delete,delete,5680,0,43.19,43.19,1.18,0,100%
write,write,8261,174906056000,551.2,409.29,1.72,36432401.18,100%
delete,delete,5477,0,45,45,1.14,0,100%
write,write,8322,173074944000,545.08,402.8,1.73,36045535.16,100%
delete,delete,5605,0,47.19,47.19,1.17,0,100%
write,write,8338,172680436000,545.65,401,1.74,35966174.22,100%
delete,delete,5431,0,46.15,46.15,1.13,0,100%
write,write,8368,172614064000,543.2,408.82,1.74,35948711.24,100%
delete,delete,5647,0,45.2,45.2,1.18,0,100%
write,write,8183,174246104000,538.86,400.23,1.7,36293098.16,99.99%
delete,delete,5551,0,59.52,59.52,1.16,0,100%
write,write,8196,172673388000,554.72,410.53,1.71,35962264.42,100%
delete,delete,5507,0,46.15,46.15,1.15,0,100%
write,write,8206,177324040000,557.05,414.26,1.71,36930513.61,100%
delete,delete,5563,0,41.27,41.27,1.16,0,100%
write,write,8409,176481156000,539.63,398.91,1.75,36755880.74,100%
delete,delete,5461,0,48.14,48.14,1.14,0,100%
write,write,8303,177786392000,543.66,404.03,1.73,37029605.12,99.99%
delete,delete,5530,0,40.93,40.93,1.15,0,100%
write,write,8334,171822804000,531.39,396.6,1.74,35787813.51,99.98%
delete,delete,5852,0,42.94,42.94,1.22,0,100%
